Refs,MAbs
Liu20e,1-20; 2-15; 2-4; 4-20
Li20h,157; 247; 261-262; AB35; B38; CA1; CB6; H00S022; H014; H4; P2B-2F6; P2C-1F11; X593
Liu20h,1B07; 2B04; 2H04; SARS2-01; SARS2-02; SARS2-07; SARS2-16; SARS2-19; SARS2-21; SARS2-22; SARS2-23; SARS2-31; SARS2-32; SARS2-34; SARS2-55; SARS2-58; SARS2-66; SARS2-71
Weisblum20,C121; C135; C144
Greaney20,COV2-2082; COV2-2165; COV2-2479; COV2-2832
Starr21,LY-CoV2016; REGN-COV2; REGN10933; REGN10987
Baum20,REGN-COV2; REGN10933; REGN10934; REGN10987; REGN10989; REGN10989/10934; REGN10989/10987
Tortorici20,S2M11
